paper,printed_page,table,statistic,exact_source_definition,universe,weighting,exclusions,band_resolution,usable_for,compatibility_assessment
JLN1981,278,T6,"error rate (per audit, 20 audits)","Appendix eq.(2) p292: p_st = sum_h N_h p_h / N, p_h = proportion of errors in stratum h; line items in error over all line items","all line items of the audited population; all detected errors incl. zero/negative-book","N_h/n_h design weights (population)","none stated for this table (zero/negative-book exclusion applies only to tainting tables, p286)","audit-wide only","F (line-item rate) in G route and in the ceiling bound","F available for all 20; matches RKS App.A F within .01 for 17 of 18 shared audits; audit 24 discrepant (.42 vs .624)"
JLN1981,278,T6,"mean book value per line item; account balance","mean book value per line item (dollars); account balance (million dollars)","whole audited population (gross book value, fn.8 p273)","population","none","audit-wide only","abar = E[a] for R and G","abar available for all 20; integer dollars"
JLN1981,279,T7,"error rate by book-value group (lowest/middle/highest)","p277-278: line items grouped by book value into three groups of equal size; error rate computed for each group; weighted (p278, Appendix)","all line items; all detected errors (no zero/negative-book exclusion stated)","N_h/n_h design weights; displayed counts unweighted","none stated","three groups by line-item count; boundaries and group dollar shares unpublished","P_h (line-item occurrence by band)","occurrence by band available; NO severity statistic is published on the same partition; group boundaries unpublished; equal-size (thirds) partition is by count of line items, whereas NJL T4/T5 halves are of erroneous items only"
JLN1981,283,T9,"mean, SD, range, skewness of error amounts","'basic characteristics of each of the 20 error amount distributions' (p281); weighted per Appendix; Appendix eq.(1) defines y_st with denominator N, but the per-N reading is arithmetically impossible against NJL T3 (implies dollar-unit error rate >1 in 16 of 18 audits); the table is therefore read as the weighted mean error per erroneous item","all 4,038 unweighted errors in the 20 audits (zero/negative-book errors NOT excluded here)","N_h/n_h design weights","none (exclusion is introduced for taintings only, p286)","audit-wide only","ybar = D/n_e in the derived R = F*ybar/(mu_D*abar)","interpretation-dependent (per-erroneous-item reading); universe differs from taint tables in audits with zero/negative-book errors; audits 24 and 33 show sign contradictions with NJL T3"
JLN1981,286,T11,"percent distribution of line-item taintings (bins)","tainting = error amount / book value (fn.13 p281); 44 of 4,038 errors with zero or negative book balance excluded (p286)","taint universe: errors with positive book value, 20 audits","N_h/n_h design weights, rounded-integer replication for frequency distributions (Appendix)","zero/negative-book errors excluded","pooled per audit; no band split","not used here (pooled)","pooled only; cannot supply band-level severity"
JLN1981,287,T12,"mean, SD, range, skewness of line-item taintings","as T11 universe; moments of the tainting distribution","taint universe (3,994 errors)","N_h/n_h design weights","zero/negative-book excluded","pooled per audit","mu_LI, sd_LI -> E_LI[tau^2|err] = mu^2+sd^2","identical to NJL T3 line-item columns for all 20 audits (visually verified on both scans); denominator convention (n vs n-1) unstated"
JLN1981,290,T13,"median moving SD of error amounts by book-amount decile groups","unweighted errors sorted by book amount into ten equal groups; SDs of adjacent pairs; medians of first/middle/last three (p290)","13 audits with >=100 unweighted errors","unweighted (overrides Appendix)","none stated","deciles of erroneous items; no amount coordinates","not usable: error-amount SD is not a taint moment and the partition is of erroneous items without amount coordinates","incompatible with T7 partition and with taint severity"
JLN1981,292,Appendix,"weighting; estimators of mean error amount and error rate","weight N_h/n_h; y_st = sum_h (N_h/n_h) sum_i y_hi / N; p_st = sum_h N_h p_h / N","stratified samples with a 100% certainty stratum","design weights","-","-","definitions of F and of the weighting","p_st is E[I] over the population (compatible with NJL T6 definition of the line-item rate)"
NJL1985,490,T1,"illustration: line-item vs dollar-unit taint distributions","dollar-unit taint distribution = number of dollars with each taint; each line item's taint weighted by its book amount","illustrative","book-amount weights (times design weights, fn.1 p489)","-","-","establishes mu_D = sum(w a tau)/sum(w a) = D/A_e","exact definition used in the derived-R identity"
NJL1985,491-492,T2,"percent distribution of dollar-unit taints (bins)","same 20 audits and same error records as JLN T11; dollar-unit weighting","taint universe","book-amount times design weights","same as JLN T11 (ranges identical, p490)","pooled per audit; no band split","not used (pooled)","pooled only; cannot supply band-level severity"
