account,audit,F_jln6,abar_jln6,balance_M_jln6,ybar_jln9,mu_LI_jln12,sd_LI_jln12,mu_D_njl3,sd_D_njl3,P_L_jln7,P_M_jln7,P_H_jln7,n_unw_jln7,rks_in_97,rks_F_appA,rks_NE_appA,rks_BVneg_appA,jln6_page,jln7_page,jln9_page,jln12_page,njl3_page,rks_appA_page
receivables,6,0.12,241,8.17,94,0.19,0.11,0.24,0.31,0.108,0.095,0.284,47,1,0.124,47,0,278,279,283,287,493,88-90
receivables,11,0.09,639,23.91,21,0.06,0.33,0.02,0.14,0.070,0.084,0.157,173,1,0.089,173,9,278,279,283,287,493,88-90
receivables,15,0.16,856,4.89,249,0.47,0.33,0.13,0.24,0.111,0.203,0.332,131,1,0.163,131,15,278,279,283,287,493,88-90
receivables,16,0.27,12066,31.11,251,0.18,0.35,0.01,0.03,0.166,0.374,0.527,71,1,0.266,71,2,278,279,283,287,493,88-90
receivables,59,0.06,628,16.46,111,0.59,0.42,0.09,0.18,0.062,0.059,0.086,79,1,0.064,79,9,278,279,283,287,493,92-94
receivables,69,0.14,1661,31.49,96,0.22,0.47,0.04,0.16,0.124,0.160,0.187,106,1,0.135,106,0,278,279,283,287,493,92-94
receivables,77,0.12,644,8.01,154,0.49,0.33,0.28,0.28,0.105,0.155,0.107,39,1,0.118,39,6,278,279,283,287,493,92-94
receivables,80,0.09,616,33.16,184,0.77,0.35,0.17,0.31,0.074,0.106,0.148,49,0,,,,278,279,283,287,493,
receivables,81,0.06,616,33.16,197,0.93,0.19,0.19,0.36,0.074,0.000,0.106,45,1,0.057,45,0,278,279,283,287,493,93-95
receivables,91,0.86,52,0.26,51,0.95,0.15,0.92,0.17,0.771,1.000,0.934,70,1,0.861,70,0,278,279,283,287,493,93-95
inventory,13,0.71,355,2.49,25,-0.70,3.64,0.06,0.52,0.641,0.838,0.797,255,1,0.707,255,0,278,279,283,287,493,88-90
inventory,14,0.55,639,3.71,31,-0.02,0.34,0.03,0.25,0.389,0.949,0.960,221,1,0.545,221,0,278,279,283,287,493,88-90
inventory,22,0.32,1016,31.45,127,-0.39,2.97,0.10,0.54,0.283,0.380,0.440,535,0,,,,278,279,283,287,493,
inventory,23,0.29,1016,31.45,139,-0.13,1.98,0.10,0.46,0.259,0.368,0.425,1139,1,0.295,1139,6,278,279,283,287,493,88-90
inventory,24,0.42,1308,14.84,-249,0.08,0.22,0.03,0.16,0.360,0.471,0.668,284,1,0.624,284,2,278,279,283,287,493,88-90
inventory,27,0.13,76,29.37,13,-0.29,2.81,0.20,0.35,0.123,0.159,0.097,186,1,0.125,186,0,278,279,283,287,493,88-90
inventory,32,0.71,172,2.08,-2,-0.02,0.50,-0.01,0.26,0.745,0.738,0.537,142,1,0.709,142,0,278,279,283,287,493,89-91
inventory,33,0.65,1282,5.07,-124,-0.29,2.17,0.24,0.34,0.597,0.807,0.733,174,1,0.645,174,1,278,279,283,287,493,89-91
inventory,56,0.30,535,4.91,48,0.03,0.15,0.05,0.09,0.206,0.474,0.633,184,1,0.296,184,0,278,279,283,287,493,92-94
inventory,60,0.76,968,3.19,210,0.14,0.50,0.19,0.42,0.876,0.461,0.712,107,1,0.758,107,0,278,279,283,287,493,92-94
