account_class,audit_id,metric,printed,value,cell_status,unit,source_file,table,printed_page,pdf_page,verification
receivables,6,minimum,.005,0.005,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,11,minimum,-.82,-0.82,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,15,minimum,-.01,-0.01,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,16,minimum,-.02,-0.02,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,59,minimum,e,,censored,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,69,minimum,-.89,-0.89,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,77,minimum,-.03,-0.03,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,80,minimum,-.91,-0.91,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,81,minimum,-.91,-0.91,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,91,minimum,.30,0.3,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,6,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,11,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,15,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,16,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,59,maximum,1.25,1.25,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
