account_class,audit_id,metric,printed,value,note,source_file,table,printed_page,pdf_page,verification
receivables,6,minimum,0,0,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,6,maximum,20100,20100,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,6,mean,94,94,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,6,sd,735,735,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,6,skewness,19,19,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,6,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,11,minimum,-1100,-1100,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,11,maximum,8900,8900,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,11,mean,21,21,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,11,sd,214,214,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,11,skewness,23,23,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,11,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,15,minimum,-600,-600,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,15,maximum,6900,6900,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,15,mean,249,249,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,15,sd,592,592,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,15,skewness,6,6,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,15,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,16,minimum,-600,-600,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,16,maximum,23500,23500,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,16,mean,251,251,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,16,sd,989,989,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,16,skewness,20,20,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,16,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,59,minimum,0,0,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,59,maximum,3600,3600,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,59,mean,111,111,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,59,sd,172,172,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,59,skewness,12,12,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,59,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,69,minimum,-1900,-1900,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,69,maximum,12700,12700,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,69,mean,96,96,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,69,sd,451,451,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,69,skewness,13,13,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,69,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,77,minimum,-800,-800,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,77,maximum,12100,12100,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,77,mean,154,154,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,77,sd,480,480,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,77,skewness,17,17,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,77,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,80,minimum,-15100,-15100,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,80,maximum,13000,13000,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,80,mean,184,184,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,80,sd,483,483,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,80,skewness,-1,-1,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,80,pearson_family,I,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,81,minimum,-15100,-15100,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,81,maximum,7600,7600,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,81,mean,197,197,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,81,sd,650,650,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,81,skewness,-2,-2,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,81,pearson_family,I,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,91,minimum,0,0,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,91,maximum,1000,1000,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,91,mean,51,51,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,91,sd,68,68,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,91,skewness,4,4,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
receivables,91,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,13,minimum,-3200,-3200,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,13,maximum,16600,16600,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,13,mean,25,25,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,13,sd,536,536,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,13,skewness,16,16,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,13,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,14,minimum,-1500,-1500,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,14,maximum,10100,10100,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,14,mean,31,31,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,14,sd,481,481,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,14,skewness,10,10,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,14,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,22,minimum,-22600,-22600,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,22,maximum,177600,177600,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,22,mean,127,127,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,22,sd,3451,3451,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,22,skewness,40,40,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,22,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,23,minimum,-28300,-28300,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,23,maximum,177600,177600,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,23,mean,139,139,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,23,sd,3648,3648,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,23,skewness,38,38,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,23,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,24,minimum,17500,17500,printed positive minimum inconsistent with negative mean: not repaired,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,24,maximum,23800,23800,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,24,mean,-249,-249,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,24,sd,1129,1129,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,24,skewness,-1,-1,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,24,pearson_family,I,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,27,minimum,-1600,-1600,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,27,maximum,37500,37500,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,27,mean,13,13,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,27,sd,317,317,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,27,skewness,74,74,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,27,pearson_family,IV,,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,32,minimum,-1300,-1300,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,32,maximum,5000,5000,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
inventory,32,mean,-2,-2,,Johnson_Leitch_Neter_1981_TAR.pdf,9,283,14,rendered primary scan visually verified
