account_class,audit_id,metric,printed,value,cell_status,unit,source_file,table,printed_page,pdf_page,verification
receivables,6,mean_line,0.19,0.19,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,11,mean_line,0.06,0.06,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,15,mean_line,0.47,0.47,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,16,mean_line,0.18,0.18,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,59,mean_line,0.59,0.59,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,69,mean_line,0.22,0.22,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,77,mean_line,0.49,0.49,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,80,mean_line,0.77,0.77,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,81,mean_line,0.93,0.93,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,91,mean_line,0.95,0.95,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,6,mean_dollar,0.24,0.24,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,11,mean_dollar,0.02,0.02,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,15,mean_dollar,0.13,0.13,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,16,mean_dollar,0.01,0.01,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,59,mean_dollar,0.09,0.09,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,69,mean_dollar,0.04,0.04,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,77,mean_dollar,0.28,0.28,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,80,mean_dollar,0.17,0.17,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,81,mean_dollar,0.19,0.19,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,91,mean_dollar,0.92,0.92,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
