POP,F,F_SDV,F_CSDV,FOV,CON,table,pdf_page
1,0.000,0.000,0.000,0.000,0.000,10,90
2,0.000,0.000,0.000,0.000,0.000,10,90
3,0.000,0.000,0.000,0.000,0.000,10,90
4,0.074,0.023,0.118,0.986,0.417,10,90
5,0.011,0.008,0.029,0.983,0.983,10,90
6,0.124,0.051,0.086,1.000,0.006,10,90
7,0.038,0.012,0.065,1.000,0.000,10,90
9,0.007,0.002,0.065,1.000,0.125,10,90
10,0.003,0.003,0.107,1.000,0.000,10,90
11,0.089,0.013,0.026,0.612,0.152,10,90
13,0.707,0.053,0.056,0.398,0.031,10,90
14,0.545,0.065,0.095,0.577,0.034,10,90
15,0.163,0.026,0.047,0.888,0.541,10,90
16,0.266,0.052,0.075,0.858,0.185,10,90
17,0.009,0.004,0.018,0.809,0.656,10,90
18,0.004,0.002,0.018,0.990,0.402,10,90
19,0.005,0.003,0.018,0.649,0.720,10,90
20,0.001,0.001,0.018,0.928,0.072,10,90
23,0.295,0.011,0.012,0.693,0.068,10,90
24,0.624,0.077,0.081,0.313,0.021,10,90
25,0.343,0.026,0.035,0.598,0.014,10,90
26,0.000,0.000,0.046,0.667,0.833,10,90
27,0.125,0.012,0.017,0.777,0.023,10,90
28,0.046,0.040,0.076,1.000,0.972,10,90
29,0.024,0.013,0.071,0.129,0.013,10,91
30,0.001,0.001,0.085,0.995,0.990,10,91
31,0.016,0.009,0.053,0.939,0.606,10,91
32,0.709,0.040,0.045,0.580,0.047,10,91
33,0.645,0.064,0.073,0.582,0.399,10,91
34,0.002,0.002,0.096,1.000,0.000,10,91
35,0.017,0.009,0.166,0.984,0.000,10,91
36,0.002,0.002,0.023,1.000,0.000,10,91
37,0.002,0.002,0.030,1.000,0.993,10,91
38,0.002,0.002,0.029,1.000,1.000,10,91
39,0.001,0.001,0.023,1.000,0.000,10,91
40,0.000,0.000,0.035,1.000,0.500,10,91
41,0.004,0.003,0.029,1.000,1.000,10,91
42,0.073,0.033,0.079,0.738,0.000,10,91
43,0.177,0.046,0.078,0.198,0.000,10,91
44,0.154,0.050,0.078,0.728,0.000,10,91
45,0.000,0.000,0.000,0.000,0.000,10,91
46,0.073,0.037,0.077,0.522,0.438,10,91
47,0.127,0.053,0.078,0.664,0.299,10,91
48,0.050,0.028,0.077,0.997,0.000,10,91
49,0.135,0.050,0.075,0.544,0.000,10,91
50,0.287,0.063,0.074,0.563,0.000,10,91
51,0.030,0.018,0.078,1.000,0.000,10,91
52,0.081,0.038,0.075,0.623,0.341,10,91
53,0.399,0.056,0.059,0.834,0.000,10,91
54,0.009,0.009,0.122,1.000,1.000,10,91
55,0.120,0.054,0.083,1.000,0.519,12,94
56,0.296,0.022,0.069,0.803,0.000,12,94
57,0.000,0.000,0.048,1.000,0.000,12,94
58,0.004,0.003,0.050,0.296,0.000,12,94
59,0.064,0.014,0.030,1.000,0.524,12,94
60,0.758,0.061,0.084,0.523,0.202,12,94
61,0.139,0.028,0.046,0.642,0.000,12,94
62,0.039,0.017,0.043,1.000,0.538,12,94
63,0.010,0.004,0.046,1.000,0.000,12,94
64,0.029,0.010,0.046,0.123,0.124,12,94
65,0.022,0.020,0.066,1.000,0.000,12,94
66,0.000,0.000,0.091,1.000,0.000,12,94
67,0.004,0.004,0.096,1.000,0.000,12,94
68,0.019,0.013,0.048,1.000,0.000,12,94
69,0.135,0.028,0.047,0.747,0.248,12,94
70,0.007,0.004,0.061,0.945,0.840,12,94
71,0.000,0.000,0.023,1.000,0.937,12,94
73,0.023,0.010,0.039,0.286,0.000,12,94
74,0.083,0.034,0.059,0.324,0.271,12,94
76,0.000,0.000,0.000,0.000,0.000,12,94
77,0.118,0.028,0.044,0.976,0.407,12,94
79,0.152,0.056,0.085,0.999,0.547,12,94
81,0.057,0.044,0.083,0.996,0.941,12,95
83,0.028,0.019,0.069,1.000,0.000,12,95
85,0.057,0.027,0.088,0.601,0.010,12,95
87,0.148,0.061,0.082,0.958,0.325,12,95
88,0.002,0.001,0.019,0.969,0.000,12,95
89,0.048,0.018,0.051,0.753,0.491,12,95
90,0.000,0.000,0.000,0.000,0.000,12,95
91,0.861,0.050,0.077,1.000,0.956,12,95
93,0.633,0.066,0.074,0.655,0.000,12,95
94,0.001,0.001,0.019,1.000,0.982,12,95
95,0.045,0.018,0.056,0.553,0.000,12,95
98,0.001,0.001,0.023,1.000,0.000,12,95
99,0.000,0.000,0.107,1.000,0.000,12,95
100,0.095,0.050,0.075,1.000,0.978,12,95
101,0.018,0.004,0.015,0.704,0.065,12,95
102,0.059,0.030,0.064,0.990,0.415,12,95
103,0.093,0.024,0.038,1.000,0.969,12,95
104,0.014,0.008,0.069,0.572,0.572,12,95
105,0.031,0.018,0.044,1.000,1.000,12,95
106,0.053,0.016,0.064,0.809,0.252,12,95
107,0.062,0.015,0.029,1.000,1.000,12,95
108,0.021,0.007,0.035,0.468,0.003,12,95
109,0.000,0.000,0.000,0.000,0.000,12,95
110,0.000,0.000,0.000,0.000,0.000,12,95
111,0.005,0.003,0.018,0.981,0.350,12,95
