POP,SIC,TYP,NP,NS,AV_lt0,BV_lt0,NE,NOV,CON,AV_eq0,table,pdf_page
1,6,A,33045,209,0,0,0,0,0,0,9,88
2,6,A,25354,203,0,0,0,0,0,0,9,88
3,6,A,688,73,0,0,0,0,0,0,9,88
4,4,A,954,76,0,0,16,15,3,2,9,88
5,6,A,135842,692,0,0,3,2,2,2,9,88
6,8,A,33938,212,0,0,47,47,24,24,9,88
7,3,A,657,138,0,0,15,15,0,0,9,88
9,9,A,1221,156,0,0,8,8,1,0,9,88
10,6,A,3980,134,0,0,2,2,0,0,9,88
11,2,A,37450,977,4,9,173,92,9,8,9,88
13,8,I,7030,302,0,0,255,151,24,16,9,88
14,8,I,5812,244,0,0,221,126,5,0,9,88
15,8,A,5715,405,11,15,131,117,23,9,9,88
16,3,A,2578,142,2,2,71,59,2,1,9,88
17,5,A,61179,1082,0,5,11,6,8,5,9,88
18,5,A,68672,1112,1,4,8,5,4,4,9,88
19,5,A,75587,1120,5,9,14,7,6,5,9,88
20,5,A,51505,1054,1,3,6,3,3,2,9,88
23,3,I,30965,3185,0,6,1139,779,64,11,9,88
24,3,I,11342,359,0,2,284,114,3,0,9,88
25,5,I,115603,407,0,0,146,85,8,8,9,88
26,4,A,43567,504,2,2,6,4,5,0,9,88
27,7,I,387262,1714,0,0,186,156,15,1,9,88
28,5,A,1924,145,0,0,4,4,2,1,9,89
29,8,A,3272,185,0,1,11,6,1,0,9,89
30,4,A,185858,215,0,0,5,4,3,0,9,89
31,5,A,5127,186,0,5,15,10,7,6,9,89
32,5,I,12055,247,0,0,142,84,6,4,9,89
33,6,I,3953,236,0,1,174,142,44,2,9,89
34,5,I,11787,98,0,0,2,2,0,0,9,89
35,5,A,3839,60,0,0,3,2,0,0,9,89
36,5,A,108402,770,0,0,1,1,0,0,9,89
37,5,A,65362,415,0,0,2,2,1,1,9,89
38,5,A,68198,418,0,0,1,1,1,1,9,89
39,5,A,108585,725,0,0,1,1,0,0,9,89
40,5,A,63799,280,0,0,2,2,1,1,9,89
41,5,A,65787,429,0,0,2,2,2,2,9,89
42,5,I,8476,84,0,0,10,7,0,0,9,89
43,5,I,5149,64,0,0,14,4,0,0,9,89
44,5,I,5494,66,0,0,15,11,0,0,9,89
45,5,I,6582,78,0,0,0,0,0,0,9,89
46,5,I,7156,101,0,0,7,3,1,1,9,89
47,5,I,6382,72,0,0,7,5,1,1,9,89
48,5,I,6414,66,0,0,7,6,0,0,9,89
49,5,I,7010,60,0,0,7,4,0,0,9,89
50,5,I,8744,69,0,0,25,13,0,0,9,89
51,5,I,7408,69,0,0,4,4,0,0,9,89
52,5,I,8760,77,0,0,4,2,1,0,9,89
53,5,I,6329,177,0,0,71,59,0,0,9,89
54,2,O,3994,94,0,0,1,1,1,1,9,89
55,2,A,678,89,0,0,13,13,2,2,11,92
56,5,I,9181,319,0,0,184,154,0,0,11,92
57,6,A,42338,218,0,0,1,1,0,0,11,92
58,5,I,47304,285,0,0,4,3,0,0,11,92
59,2,A,26221,741,10,9,79,79,7,2,11,92
60,7,I,3291,133,0,0,107,75,21,13,11,92
61,5,I,5805,329,0,0,50,34,0,0,11,92
62,5,A,3899,476,0,0,14,14,3,2,11,92
63,3,A,4565,400,0,0,15,15,0,0,11,92
64,5,I,42921,563,6,8,26,6,6,3,11,92
65,4,A,39969,134,0,0,1,1,0,0,11,92
66,4,A,9735,111,0,0,1,1,0,0,11,92
67,6,A,1413,51,0,0,1,1,0,0,11,92
68,6,A,11853,200,0,0,2,2,0,0,11,92
69,7,A,18956,484,0,0,106,65,5,4,11,92
70,4,A,131007,387,0,0,15,11,5,5,11,92
71,5,A,95387,958,0,0,3,3,2,1,11,92
73,1,O,10775,197,0,0,7,4,0,0,11,92
74,5,I,5639,174,0,0,12,2,1,1,11,92
76,6,A,20694,2314,0,0,0,0,0,0,11,92
77,4,A,12424,410,4,6,39,36,15,9,11,92
79,3,A,67300,205,0,0,24,18,3,1,11,92
81,3,A,53869,180,0,0,45,33,2,1,11,93
83,3,A,72448,150,0,0,8,8,0,0,11,93
85,3,A,65077,137,0,0,11,10,1,0,11,93
87,3,A,61800,123,0,0,27,23,1,1,11,93
88,6,A,20663,861,0,0,3,2,0,0,11,93
89,8,A,1346,239,1,0,13,11,8,1,11,93
90,6,A,3455,86,0,0,0,0,0,0,11,93
91,1,A,5033,77,0,0,70,70,67,47,11,93
93,5,I,4041,177,0,0,133,88,0,0,11,93
94,5,A,132255,1397,0,0,2,2,1,1,11,93
95,0,A,2993,150,0,0,10,5,0,0,11,93
98,5,A,25244,939,0,0,4,4,0,0,11,93
99,6,A,2662,116,0,0,1,1,0,0,11,93
100,2,A,2031,146,0,0,7,7,3,3,11,93
101,5,A,145969,1559,0,0,30,20,1,1,11,93
102,2,A,3408,133,1,3,14,12,3,3,11,93
103,2,A,14022,585,0,0,32,32,22,18,11,93
104,8,A,11837,168,0,1,4,3,3,3,11,93
105,8,A,52721,354,0,0,3,3,3,3,11,93
106,2,A,1934,143,0,0,23,19,3,3,11,93
107,6,O,171909,574,0,0,16,16,16,16,11,93
108,5,I,115603,407,0,0,22,12,7,7,11,93
109,6,A,1525,295,0,0,0,0,0,0,11,93
110,6,A,646,68,0,0,0,0,0,0,11,93
111,5,A,74369,1117,3,9,14,7,7,5,11,93
